================================================================================
                    Danbooru 动作标签分类大全
                    来源：safebooru.donmai.us（真实爬取）
                    整理时间：2026-03-30
                    结构：一级分类 → 二级分类 → 三级分类 → 标签
================================================================================

================================================================================
一、微动作篇 (Micro Actions)
================================================================================

--- 1.1 面部微动作 ---

    -- 1.1.1 眼睛动作 --
    blinking                    眨眼
    winking                     眨眼（单眼）
    double_wink                 双眨眼
    rolling_eyes                翻白眼
    eye_contact                 眼神接触
    avoiding_eye_contact        避免眼神接触
    staring                     凝视
    glaring                     怒视
    squinting                   眯眼
    widening_eyes               睁大眼睛
    narrowing_eyes              眯起眼睛
    closing_eyes                闭眼
    opening_eyes                睁眼
    half-closed_eyes            半睁眼
    sleepy_eyes                 睡眼惺忪
    teary_eyes                  含泪
    crying                      哭泣
    tearing_up                  流泪
    eyes_turned_to_heart        眼变爱心
    sparkling_eyes              闪亮眼睛
    dilated_pupils              瞳孔放大
    contracted_pupils           瞳孔收缩
    cross-eyed                  斗鸡眼
    looking_up                  向上看
    looking_down                向下看
    looking_sideways            向侧看
    looking_back                回头看
    looking_at_viewer           看观众
    looking_away                视线移开
    looking_at_object           看物体
    looking_at_another          看他人
    looking_in_mirror           照镜子
    covering_eyes               遮眼睛
    rubbing_eyes                揉眼睛
    wiping_eyes                 擦眼睛
    poking_eye                  戳眼睛
    shielding_eyes              遮挡眼睛（防光）

    -- 1.1.2 眉毛动作 --
    raised_eyebrow              挑眉
    furrowed_brow               皱眉
    wrinkled_brow               眉头紧锁
    relaxed_brow                放松眉毛
    arched_eyebrows             拱形眉
    furrowed_eyebrows           皱眉
    raised_eyebrows             挑眉
    lowered_eyebrows            压低眉毛
    asymmetrical_eyebrows       不对称眉毛

    -- 1.1.3 嘴巴动作 --
    smiling                     微笑
    grinning                    咧嘴笑
    laughing                    大笑
    giggling                    咯咯笑
    chuckling                   轻笑
    smirking                    得意笑
    frowning                    皱眉
    pouting                     撅嘴
    puffed_cheeks               鼓腮
    pursed_lips                 抿嘴
    parted_lips                 微张嘴唇
    open_mouth                  张嘴
    closed_mouth                闭嘴
    biting_lip                  咬嘴唇
    licking_lips                舔嘴唇
    sticking_out_tongue         吐舌头
    tongue_out                  吐舌
    ahegao                      阿嘿颜
    tongue_up                   舌头上翘
    tongue_to_cheek             舌头顶腮
    drooling                    流口水
    yawning                     打哈欠
    sighing                     叹气
    gasping                     喘息
    panting                     喘气
    holding_breath              屏住呼吸
    blowing                     吹气
    kissing                     亲吻
    whistling                   吹口哨
    humming                     哼唱
    singing                     唱歌
    speaking                    说话
    shouting                    喊叫
    whispering                  低语
    screaming                   尖叫
    gritting_teeth              咬紧牙关
    clenched_teeth              紧闭牙齿
    showing_teeth               露齿
    fangs                       尖牙
    showing_fangs               露尖牙

    -- 1.1.4 鼻子动作 --
    sniffing                    嗅
    sneezing                    打喷嚏
    blowing_nose                擤鼻涕
    wrinkled_nose               皱鼻子
    flared_nostrils             鼻孔张开
    nose_blush                  鼻子泛红
    nosebleed                   流鼻血
    touching_nose               摸鼻子
    rubbing_nose                揉鼻子
    picking_nose                挖鼻子
    booger                      鼻屎

    -- 1.1.5 脸颊动作 --
    blushing                    脸红
    full_blush                  全脸红
    partial_blush               部分脸红
    flushed                     潮红
    pale                        苍白
    puffed_cheeks               鼓腮
    sucked_cheeks               吸腮
    dimpled_cheeks              酒窝
    pinching_cheek              捏脸颊
    poking_cheek                戳脸颊
    patting_cheek               拍脸颊
    stroking_cheek              抚摸脸颊
    resting_chin_on_hand        手托下巴
    resting_cheek_on_hand       手托腮

--- 1.2 手部微动作 ---

    -- 1.2.1 手指动作 --
    pointing                    指向
    pointing_up                 向上指
    pointing_down               向下指
    pointing_left               向左指
    pointing_right              向右指
    pointing_at_viewer          指向观众
    pointing_at_another         指向他人
    pointing_at_self            指向自己
    pointing_at_object          指向物体
    index_finger_raised         食指举起
    middle_finger               竖中指
    thumbs_up                   竖大拇指
    thumbs_down                 竖小拇指
    ok_sign                     OK 手势
    peace_sign                  剪刀手
    v_sign                      V 字手势
    rock_on                     摇滚手势
    metal_sign                  金属手势
    shaka_sign                  沙卡手势
    finger_gun                  手指枪
    finger_heart                手指心
    crossed_fingers             交叉手指
    pinky_swear                 拉钩
    snapping_fingers            打响指
    waving_fingers              摆动手指
    beckoning                   招手
    come_hither                 勾引手势
    stop                        停止手势
    wait                        等待手势
    call_me                     打电话手势
    praying                     祈祷手势
    palms_together              合掌
    fingers_interlaced          十指相扣
    counting_on_fingers         数手指
    tapping_fingers             轻敲手指
    drumming_fingers            敲鼓手指
    playing_instrument          弹乐器
    typing                      打字
    writing                     写字
    drawing                     画画
    painting                    绘画
    holding_pen                 拿笔
    holding_brush               拿画笔
    holding_phone               拿手机
    holding_controller          拿手柄
    holding_remote              拿遥控器
    holding_cup                 拿杯子
    holding_bottle              拿瓶子
    holding_glass               拿玻璃杯
    holding_bowl                拿碗
    holding_spoon               拿勺子
    holding_fork                拿叉子
    holding_chopsticks          拿筷子
    holding_knife               拿刀
    holding_sword               拿剑
    holding_gun                 拿枪
    holding_bow                 拿弓
    holding_arrow               拿箭
    holding_wand                拿魔杖
    holding_staff               拿法杖
    holding_flower              拿花
    holding_book                拿书
    holding_letter              拿信
    holding_card                拿卡片
    holding_coin                拿硬币
    holding_key                 拿钥匙
    holding_rope                拿绳子
    holding_chain               拿锁链
    holding_cage                拿笼子
    holding_ball                拿球
    holding_toy                 拿玩具
    holding_doll                拿玩偶
    holding_stuffed_animal      拿毛绒玩具
    holding_food                拿食物
    holding_fruit               拿水果
    holding_vegetable           拿蔬菜
    holding_meat                拿肉
    holding_bread               拿面包
    holding_cake                拿蛋糕
    holding_ice_cream           拿冰淇淋
    holding_candy               拿糖果
    holding_chocolate           拿巧克力
    holding_lollipop            拿棒棒糖
    holding_donut               拿甜甜圈
    holding_pizza               拿披萨
    holding_burger              拿汉堡
    holding_sandwich            拿三明治
    holding_noodles             拿面条
    holding_rice                拿米饭
    holding_soup                拿汤
    holding_salad               拿沙拉
    holding_seafood             拿海鲜
    holding_sushi               拿寿司
    holding_dumpling            拿饺子
    holding_taco                拿塔可
    holding_hotdog              拿热狗
    holding_fries               拿薯条
    holding_chicken             拿鸡肉
    holding_egg                 拿鸡蛋
    holding_cheese              拿奶酪
    holding_butter              拿黄油
    holding_jam                 拿果酱
    holding_honey               拿蜂蜜
    holding_sauce               拿酱料
    holding_spice               拿香料
    holding_herb                拿香草
    holding_mushroom            拿蘑菇
    holding_nut                 拿坚果
    holding_berry               拿浆果
    holding_seed                拿种子
    holding_leaf                拿叶子
    holding_branch              拿树枝
    holding_stick               拿棍子
    holding_stone               拿石头
    holding_crystal             拿水晶
    holding_gem                 拿宝石
    holding_shell               拿贝壳
    holding_feather             拿羽毛
    holding_bone                拿骨头
    holding_skull               拿头骨
    holding_heart               拿心脏
    holding_brain               拿大脑
    holding_eye                 拿眼睛
    holding_hand                拿手
    holding_foot                拿脚
    holding_tail                拿尾巴
    holding_wing                拿翅膀
    holding_horn                拿角
    holding_fang                拿尖牙
    holding_claw                拿爪子
    holding_scale               拿鳞片
    holding_fur                 拿毛皮
    holding_hair                拿头发
    holding_nail                拿指甲
    holding_blood               拿血
    holding_tear                拿眼泪
    holding_sweat               拿汗水
    holding_saliva              拿唾液
    holding_mucus               拿粘液
    holding_slime               拿史莱姆
    holding_oil                 拿油
    holding_water               拿水
    holding_fire                拿火
    holding_ice                 拿冰
    holding_snow                拿雪
    holding_wind                拿风
    holding_cloud               拿云
    holding_mist                拿雾
    holding_smoke               拿烟
    holding_steam               拿蒸汽
    holding_spark               拿火花
    holding_flame               拿火焰
    holding_lightning           拿闪电
    holding_light               拿光
    holding_shadow              拿阴影
    holding_darkness            拿黑暗
    holding_void                拿虚空
    holding_energy              拿能量
    holding_magic               拿魔法
    holding_soul                拿灵魂
    holding_spirit              拿精神
    holding_mind                拿心智
    holding_memory              拿记忆
    holding_dream               拿梦境
    holding_nightmare           拿噩梦
    holding_time                拿时间
    holding_space               拿空间
    holding_dimension           拿次元
    holding_reality             拿现实
    holding_illusion            拿幻觉
    holding_mirror              拿镜子
    holding_mask                拿面具
    holding_crown               拿王冠
    holding_scepter             拿权杖
    holding_orb                 拿宝珠
    holding_crystal_ball        拿水晶球
    holding_tarot               拿塔罗牌
    holding_dice                拿骰子
    holding_chess               拿国际象棋
    holding_go                  拿围棋
